downloaded_at,pin_id,url,title,uploader,duration,raw_file,shorts_file,mode,status,note
2026-08-30T11:14:47,663929170112969650,https://www.pinterest.com/pin/663929170112969650/,Mahadev Dark Aesthetic Reel 🔱,Vanta Visn,7.133,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/downloads/663929170112969650.mp4,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/shorts/663929170112969650_blur.mp4,blur,rendered,7.2s of 7.2s
2026-08-30T11:14:54,583638433008791960,https://www.pinterest.com/pin/583638433008791960/,,,,,,,failed,"ERROR: [Pinterest] 583638433008791960: No video formats found!; please report this issue on  https://github.com/yt-dlp/yt-dlp/issues?q= , filling out the appropriate issue template. Confirm you are on the latest version using  yt-dlp -U"
2026-08-30T15:10:51,83105555620115949,https://www.pinterest.com/pin/83105555620115949/,The Divine Journey of Lord Shiva | Cinematic AI Art,Ai.art.mahadevv,10.0,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/downloads/83105555620115949.mp4,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/shorts/83105555620115949_blur.mp4,blur,rendered,10.0s of 10.0s
2026-08-30T15:11:04,12173861490119950,https://www.pinterest.com/pin/12173861490119950/,Mahadev Ka Sabse Powerful Video ⚡,Radha Krishna Vibes,35.208,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/downloads/12173861490119950.mp4,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/shorts/12173861490119950_blur.mp4,blur,rendered,35.2s of 35.2s
2026-08-30T19:26:02,1407443629958806,https://www.pinterest.com/pin/1407443629958806/,MAHAKAAL,रॉमियो x अस्सिक,23.733,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/downloads/1407443629958806.mp4,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/shorts/1407443629958806_blur.mp4,blur,rendered,23.8s of 23.8s
2026-08-30T19:26:25,568790627960830854,https://www.pinterest.com/pin/568790627960830854/,,,,,,,failed,"ERROR: [Pinterest] 568790627960830854: No video formats found!; please report this issue on  https://github.com/yt-dlp/yt-dlp/issues?q= , filling out the appropriate issue template. Confirm you are on the latest version using  yt-dlp -U"
2026-08-31T09:20:05,1084593522789030474,https://www.pinterest.com/pin/1084593522789030474/,,,,,,,failed,"ERROR: [Pinterest] 1084593522789030474: No video formats found!; please report this issue on  https://github.com/yt-dlp/yt-dlp/issues?q= , filling out the appropriate issue template. Confirm you are on the latest version using  yt-dlp -U"
2026-08-31T09:20:08,83105555620115940,https://www.pinterest.com/pin/83105555620115940/,mahadev,INTROBUZZZ,8.0,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/downloads/83105555620115940.mp4,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/shorts/83105555620115940_blur.mp4,blur,rendered,8.0s of 8.0s
2026-08-31T17:49:32,3096293490377724,https://www.pinterest.com/pin/3096293490377724/,Mahadev,unique_bharat108,14.7,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/downloads/3096293490377724.mp4,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/shorts/3096293490377724_blur.mp4,blur,rendered,14.8s of 14.8s
2026-08-31T17:49:56,60376451250056393,https://www.pinterest.com/pin/60376451250056393/,Pinterest video #60376451250056393,MY LIFE LINE,83.3,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/downloads/60376451250056393.mp4,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/shorts/60376451250056393_blur.mp4,blur,rendered,45.0s of 83.4s
2026-08-31T21:35:57,14425661318797307,https://www.pinterest.com/pin/14425661318797307/,Pinterest video #14425661318797307,MY LIFE LINE,27.84,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/downloads/14425661318797307.mp4,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/shorts/14425661318797307_blur.mp4,blur,rendered,27.9s of 27.9s
2026-08-31T21:36:27,31454897393787203,https://www.pinterest.com/pin/31454897393787203/,jai shree krishna 🙏❤️,fitness is hitness,16.333,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/downloads/31454897393787203.mp4,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/shorts/31454897393787203_blur.mp4,blur,rendered,16.4s of 16.4s
2026-09-01T08:19:04,362680576263970000,https://www.pinterest.com/pin/362680576263970000/,,,,,,,failed,"ERROR: [Pinterest] 362680576263970000: No video formats found!; please report this issue on  https://github.com/yt-dlp/yt-dlp/issues?q= , filling out the appropriate issue template. Confirm you are on the latest version using  yt-dlp -U"
2026-09-01T08:19:08,48202658507229458,https://www.pinterest.com/pin/48202658507229458/,Radhe Radhe 🙏 . follow for daily ai content 👍.,Bhakti Verse AI,16.042,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/downloads/48202658507229458.mp4,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/shorts/48202658507229458_blur.mp4,blur,rendered,16.1s of 16.1s
2026-09-01T15:24:31,80220437108661893,https://www.pinterest.com/pin/80220437108661893/,Shre krishna,Top Trends,8.0,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/downloads/80220437108661893.mp4,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/shorts/80220437108661893_blur.mp4,blur,rendered,8.1s of 8.1s
2026-09-01T15:24:40,14847873767811232,https://www.pinterest.com/pin/14847873767811232/,,,,,,,failed,"ERROR: [Pinterest] 14847873767811232: No video formats found!; please report this issue on  https://github.com/yt-dlp/yt-dlp/issues?q= , filling out the appropriate issue template. Confirm you are on the latest version using  yt-dlp -U"
2026-09-01T19:31:04,16325617397562202,https://www.pinterest.com/pin/16325617397562202/,,,,,,,failed,"ERROR: [Pinterest] 16325617397562202: No video formats found!; please report this issue on  https://github.com/yt-dlp/yt-dlp/issues?q= , filling out the appropriate issue template. Confirm you are on the latest version using  yt-dlp -U"
2026-09-01T19:31:04,64035625947339411,https://www.pinterest.com/pin/64035625947339411/,,,,,,,failed,"ERROR: [Pinterest] 64035625947339411: No video formats found!; please report this issue on  https://github.com/yt-dlp/yt-dlp/issues?q= , filling out the appropriate issue template. Confirm you are on the latest version using  yt-dlp -U"
2026-09-02T07:38:23,35465915812427436,https://www.pinterest.com/pin/35465915812427436/,jai shree ram🙏🙏🙏,sachin,60.333,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/downloads/35465915812427436.mp4,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/shorts/35465915812427436_blur.mp4,blur,rendered,45.0s of 60.4s
2026-09-02T07:39:26,62628251062820107,https://www.pinterest.com/pin/62628251062820107/,ram siya,sinnu,38.467,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/downloads/62628251062820107.mp4,/home/runner/work/peace-reels-automation/peace-reels-automation/pin2shorts/shorts/62628251062820107_blur.mp4,blur,rendered,38.5s of 38.5s
