videoId,title,duration,metadataRows,url,thumbnail
pfre4MYwA3E,मन शांत नही रहता ? तो ये करो! #meditation ,5:58,"[['301 views', '2 months ago']]",https://www.youtube.com/watch?v=pfre4MYwA3E,https://i.ytimg.com/vi/pfre4MYwA3E/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjMKEqpRz-bbBCklRr6AvVJ2D8gw
76Crac0JAkg,✅ध्यान और समाध के अनुभव experiences of meditation and samadhi buddhist techniques #meditation,38:38,"[['213 views', '3 months ago']]",https://www.youtube.com/watch?v=76Crac0JAkg,https://i.ytimg.com/an_webp/76Crac0JAkg/mqdefault_6s.webp?du=3000&sqp=CPDxsNMG&rs=AOn4CLBaLsiwOMbZx0KVF9S27Cy8Ck9y7Q
Aac5KfHIXQU,"✅The secret of holding your breath, get immense life force Deep Breathing Techniques #meditation",33:17,"[['615 views', '4 months ago']]",https://www.youtube.com/watch?v=Aac5KfHIXQU,https://i.ytimg.com/an_webp/Aac5KfHIXQU/mqdefault_6s.webp?du=3000&sqp=CPXqsNMG&rs=AOn4CLDVpXFkibYQkKDKtjtDjcJFccuufQ
VpN23Sn3Bls,✅Focus on your breathing Buddhist Meditation Techniques Buddha Techniques #meditation,43:55,"[['698 views', '4 months ago']]",https://www.youtube.com/watch?v=VpN23Sn3Bls,https://i.ytimg.com/an_webp/VpN23Sn3Bls/mqdefault_6s.webp?du=3000&sqp=CPbCsNMG&rs=AOn4CLBQhW0T1ER-iC1xIGg7R1g2pDCQpw
g6tu4v_R38Q,✅कैसे जागृत करें तीसरी आँख सिर्फ 5 मिनट में असर दिखेगा Third Eye Activation in 5 Minutes,25:16,"[['121 views', '4 months ago']]",https://www.youtube.com/watch?v=g6tu4v_R38Q,https://i.ytimg.com/an_webp/g6tu4v_R38Q/mqdefault_6s.webp?du=3000&sqp=CLSDsdMG&rs=AOn4CLCgk2KgRY1EufM68p5lW-73VG6XtA
bxg9jdex0h0,✅सुषुम्ना नाडी को कैसे जागृत करें How to awaken the Sushumna Nadi Inspired Club #meditation,24:53,"[['333 views', '4 months ago']]",https://www.youtube.com/watch?v=bxg9jdex0h0,https://i.ytimg.com/an_webp/bxg9jdex0h0/mqdefault_6s.webp?du=3000&sqp=CNb4sNMG&rs=AOn4CLCZLwZcHuUWD9SrKpFcPs3Dg80oAA
lawO-L9cTAs,✅️ध्यान की सरल विधि नाक से नाभ तक 50 सांस । the easiest way to meditate #meditation,29:55,"[['295 views', '4 months ago']]",https://www.youtube.com/watch?v=lawO-L9cTAs,https://i.ytimg.com/an_webp/lawO-L9cTAs/mqdefault_6s.webp?du=3000&sqp=CJyAsdMG&rs=AOn4CLAr03MEAZIR33nXxOAjWRGAPgySzw
NYzlnZrNu0w,✅️ध्यान मे  सांसो  का महत्व The importance of breathing in meditation #meditation,36:15,"[['941 views', '4 months ago']]",https://www.youtube.com/watch?v=NYzlnZrNu0w,https://i.ytimg.com/an_webp/NYzlnZrNu0w/mqdefault_6s.webp?du=3000&sqp=CLTisNMG&rs=AOn4CLCylGjKXAbt30aTJ40HcKrBtF1HJg
9fSBTqydy9I,✅101 साँस का रहस्य सिर्फ 7 दिन कर के देखें Breathing Manifestation buddhist Meditation #meditation ,31:13,"[['237 views', '5 months ago']]",https://www.youtube.com/watch?v=9fSBTqydy9I,https://i.ytimg.com/an_webp/9fSBTqydy9I/mqdefault_6s.webp?du=3000&sqp=CJyAsdMG&rs=AOn4CLBsQGauZGcSGQ9Qt8L9h8hLgBLJGQ
PXgeKR-eFg0,"✅नाभ से सांस लेने का रहस्य The secret of navel breathing, Buddhist MeditationTechniques#meditation",27:59,"[['1.6K views', '5 months ago']]",https://www.youtube.com/watch?v=PXgeKR-eFg0,https://i.ytimg.com/vi/PXgeKR-eFg0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC3twfRHC62bjo-fEczq_ZXD8ZGAg
IVm23fW9YwU,✅️ब्रह्म मुहूर्त मे  उठकर करे यह काम ईश्वर से जुड़न  का अद्भुत रहस्य #meditaion#brahmmuhurt,25:52,"[['162 views', '5 months ago']]",https://www.youtube.com/watch?v=IVm23fW9YwU,https://i.ytimg.com/an_webp/IVm23fW9YwU/mqdefault_6s.webp?du=3000&sqp=CLnzsNMG&rs=AOn4CLDjskiauT-tHGUOTyqt_bCXPlLDDg
XzW6_qPIW_o,"✅सांस रोको चमत्कार देखो, जीवन बदल जाएगा The easiest way to meditate, Buddhistmeditation #meditation ",30:00,"[['53 views', '5 months ago']]",https://www.youtube.com/watch?v=XzW6_qPIW_o,https://i.ytimg.com/an_webp/XzW6_qPIW_o/mqdefault_6s.webp?du=3000&sqp=CMaMsdMG&rs=AOn4CLBn-H3f0kHr5o41DtNupZNHl0vmcg
